x,y
-4.40388e-05,-8.38378e-06
-4.40291e-05,-8.50425e-06
-4.40189e-05,-8.62467e-06
-4.40081e-05,-8.74504e-06
-4.39968e-05,-8.86535e-06
-4.39849e-05,-8.98561e-06
-4.39724e-05,-9.10581e-06
-4.39594e-05,-9.22595e-06
-4.39459e-05,-9.34602e-06
-4.39318e-05,-9.46602e-06
-4.39171e-05,-9.58596e-06
-4.39019e-05,-9.70582e-06
-4.38862e-05,-9.8256e-06
-4.38699e-05,-9.94531e-06
-4.38531e-05,-1.00649e-05
-4.38357e-05,-1.01845e-05
-4.38177e-05,-1.03039e-05
-4.37992e-05,-1.04233e-05
-4.37802e-05,-1.05426e-05
-4.37606e-05,-1.06617e-05
-4.37405e-05,-1.07808e-05
-4.37198e-05,-1.08998e-05
-4.36986e-05,-1.10187e-05
-4.36768e-05,-1.11374e-05
-4.36545e-05,-1.12561e-05
-4.36316e-05,-1.13746e-05
-4.36082e-05,-1.14931e-05
-4.35843e-05,-1.16114e-05
-4.35598e-05,-1.17296e-05
-4.35347e-05,-1.18476e-05
-4.35092e-05,-1.19656e-05
-4.34831e-05,-1.20834e-05
-4.34564e-05,-1.22011e-05
-4.34292e-05,-1.23186e-05
-4.34015e-05,-1.24361e-05
-4.33732e-05,-1.25533e-05
-4.33444e-05,-1.26705e-05
-4.33151e-05,-1.27875e-05
-4.32852e-05,-1.29043e-05
-4.32548e-05,-1.3021e-05
-4.32239e-05,-1.31375e-05
-4.31924e-05,-1.32539e-05
-4.31604e-05,-1.33702e-05
-4.31278e-05,-1.34862e-05
-4.30948e-05,-1.36021e-05
-4.30612e-05,-1.37179e-05
-4.3027e-05,-1.38335e-05
-4.29924e-05,-1.39489e-05
-4.29572e-05,-1.40641e-05
-4.29215e-05,-1.41792e-05
-4.28852e-05,-1.4294e-05
-4.28485e-05,-1.44087e-05
-4.28112e-05,-1.45232e-05
-4.27734e-05,-1.46376e-05
-4.2735e-05,-1.47517e-05
-4.26962e-05,-1.48656e-05
-4.26568e-05,-1.49794e-05
-4.26169e-05,-1.50929e-05
-4.25765e-05,-1.52063e-05
-4.25355e-05,-1.53194e-05
-4.24941e-05,-1.54324e-05
-4.24521e-05,-1.55451e-05
-4.24096e-05,-1.56576e-05
-4.23667e-05,-1.577e-05
-4.23232e-05,-1.58821e-05
-4.22791e-05,-1.59939e-05
-4.22346e-05,-1.61056e-05
-4.21896e-05,-1.6217e-05
-4.2144e-05,-1.63282e-05
-4.2098e-05,-1.64392e-05
-4.20514e-05,-1.655e-05
-4.20044e-05,-1.66605e-05
-4.19568e-05,-1.67708e-05
-4.19087e-05,-1.68808e-05
-4.18602e-05,-1.69906e-05
-4.18111e-05,-1.71002e-05
-4.17616e-05,-1.72095e-05
-4.17115e-05,-1.73186e-05
-4.16609e-05,-1.74274e-05
-4.16099e-05,-1.7536e-05
-4.15583e-05,-1.76443e-05
-4.15063e-05,-1.77523e-05
-4.14538e-05,-1.78601e-05
-4.14008e-05,-1.79676e-05
-4.13473e-05,-1.80749e-05
-4.12933e-05,-1.81819e-05
-4.12388e-05,-1.82886e-05
-4.11838e-05,-1.83951e-05
-4.11284e-05,-1.85013e-05
-4.10725e-05,-1.86072e-05
-4.10161e-05,-1.87128e-05
-4.09592e-05,-1.88181e-05
-4.09018e-05,-1.89232e-05
-4.0844e-05,-1.90279e-05
-4.07857e-05,-1.91324e-05
-4.07269e-05,-1.92366e-05
-4.06676e-05,-1.93405e-05
-4.06079e-05,-1.94441e-05
-4.05477e-05,-1.95474e-05
-4.0487e-05,-1.96503e-05
-4.04259e-05,-1.9753e-05
-4.03643e-05,-1.98554e-05
-4.03023e-05,-1.99575e-05
-4.02397e-05,-2.00593e-05
-4.01768e-05,-2.01607e-05
-4.01133e-05,-2.02618e-05
-4.00494e-05,-2.03627e-05
-3.99851e-05,-2.04632e-05
-3.99203e-05,-2.05633e-05
-3.98551e-05,-2.06632e-05
-3.97894e-05,-2.07627e-05
-3.97232e-05,-2.08619e-05
-3.96566e-05,-2.09608e-05
-3.95896e-05,-2.10593e-05
-3.95221e-05,-2.11575e-05
-3.94542e-05,-2.12554e-05
-3.93858e-05,-2.13529e-05
-3.9317e-05,-2.145e-05
-3.92478e-05,-2.15469e-05
-3.91781e-05,-2.16434e-05
-3.9108e-05,-2.17395e-05
-3.90375e-05,-2.18353e-05
-3.89665e-05,-2.19307e-05
-3.88951e-05,-2.20258e-05
-3.88233e-05,-2.21205e-05
-3.8751e-05,-2.22149e-05
-3.86784e-05,-2.23089e-05
-3.86053e-05,-2.24025e-05
-3.85318e-05,-2.24958e-05
-3.84579e-05,-2.25887e-05
-3.83835e-05,-2.26812e-05
-3.83088e-05,-2.27733e-05
-3.82336e-05,-2.28651e-05
-3.81581e-05,-2.29565e-05
-3.80821e-05,-2.30476e-05
-3.80057e-05,-2.31382e-05
-3.79289e-05,-2.32285e-05
-3.78517e-05,-2.33184e-05
-3.77741e-05,-2.34079e-05
-3.76961e-05,-2.3497e-05
-3.76178e-05,-2.35857e-05
-3.7539e-05,-2.3674e-05
-3.74598e-05,-2.37619e-05
-3.73803e-05,-2.38495e-05
-3.73003e-05,-2.39366e-05
-3.722e-05,-2.40233e-05
-3.71393e-05,-2.41097e-05
-3.70582e-05,-2.41956e-05
-3.69767e-05,-2.42811e-05
-3.68948e-05,-2.43662e-05
-3.68126e-05,-2.44509e-05
-3.673e-05,-2.45352e-05
-3.6647e-05,-2.46191e-05
-3.65636e-05,-2.47026e-05
-3.64799e-05,-2.47856e-05
-3.63958e-05,-2.48683e-05
-3.63114e-05,-2.49505e-05
-3.62266e-05,-2.50322e-05
-3.61414e-05,-2.51136e-05
-3.60559e-05,-2.51945e-05
-3.597e-05,-2.5275e-05
-3.58838e-05,-2.53551e-05
-3.57972e-05,-2.54348e-05
-3.57103e-05,-2.5514e-05
-3.5623e-05,-2.55927e-05
-3.55354e-05,-2.56711e-05
