t, ft, filtered ft Array, filtered ft Vector
2.52248,-0.208028,-0.279498,-0.279498
2.52647,-0.319131,-0.267157,-0.267157
2.53047,-0.202741,-0.254639,-0.254639
2.53447,-0.238781,-0.225632,-0.225632
2.53846,-0.218637,-0.218974,-0.218974
2.54246,-0.211113,-0.196424,-0.196424
2.54645,-0.180995,-0.188149,-0.188149
2.55045,-0.161422,-0.163241,-0.163241
2.55445,-0.16128,-0.144509,-0.144509
2.55844,-0.144814,-0.123514,-0.123514
2.56244,-0.0644242,-0.115099,-0.115099
2.56643,-0.0875195,-0.0818034,-0.0818034
2.57043,-0.0641413,-0.0657447,-0.0657447
2.57443,-0.122091,-0.0332277,-0.0332277
2.57842,0.0716458,-0.0207685,-0.0207685
2.58242,-0.0488693,-0.00554971,-0.00554971
2.58641,0.0828056,0.0108618,0.0108618
2.59041,0.02279,0.0298952,0.0298952
2.59441,0.0190122,0.023498,0.023498
2.5984,0.0507392,0.050092,0.050092
2.6024,0.0111432,0.0552256,0.0552256
2.60639,0.026865,0.0796471,0.0796471
2.61039,0.137289,0.097194,0.097194
2.61439,0.11874,0.114239,0.114239
2.61838,0.193741,0.145018,0.145018
2.62238,0.14184,0.171756,0.171756
2.62637,0.170056,0.179481,0.179481
2.63037,0.226592,0.19727,0.19727
2.63437,0.214031,0.206673,0.206673
2.63836,0.191365,0.222533,0.222533
2.64236,0.243264,0.234259,0.234259
2.64635,0.259566,0.241975,0.241975
2.65035,0.252857,0.251992,0.251992
2.65435,0.252137,0.253326,0.253326
2.65834,0.280607,0.262144,0.262144
2.66234,0.28415,0.255282,0.255282
2.66633,0.2007,0.245419,0.245419
2.67033,0.304991,0.257052,0.257052
2.67433,0.211535,0.245844,0.245844
2.67832,0.183815,0.24004,0.24004
2.68232,0.333569,0.233181,0.233181
2.68631,0.202145,0.21079,0.21079
2.69031,0.243527,0.223665,0.223665
2.69431,0.152689,0.227106,0.227106
2.6983,0.148249,0.203579,0.203579
2.7023,0.301662,0.196266,0.196266
2.70629,0.207902,0.176777,0.176777
2.71029,0.168877,0.163934,0.163934
2.71429,0.150957,0.15771,0.15771
2.71828,0.107101,0.120913,0.120913
2.72228,0.0627887,0.094461,0.094461
2.72627,0.104683,0.0807244,0.0807244
2.73027,0.04408,0.0662086,0.0662086
2.73427,0.0227403,0.0538856,0.0538856
2.73826,0.0727208,0.0448355,0.0448355
2.74226,0.0493466,0.0282065,0.0282065
2.74625,0.0208399,0.0124628,0.0124628
2.75025,-0.000562376,-0.00119466,-0.00119466
2.75425,-0.0117198,-0.0157343,-0.0157343
2.75824,-0.066126,-0.030361,-0.030361
2.76224,-0.0728617,-0.0509457,-0.0509457
2.76623,-0.029057,-0.0596562,-0.0596562
2.77023,-0.0530399,-0.0640974,-0.0640974
2.77423,-0.123253,-0.0877107,-0.0877107
2.77822,-0.0615358,-0.0889186,-0.0889186
2.78222,-0.0428079,-0.115174,-0.115174
2.78621,-0.231419,-0.13684,-0.13684
2.79021,-0.0813167,-0.132104,-0.132104
2.79421,-0.212844,-0.143236,-0.143236
2.7982,-0.204701,-0.153924,-0.153924
2.8022,-0.0901065,-0.138137,-0.138137
2.80619,-0.139455,-0.167236,-0.167236
2.81019,-0.117629,-0.157616,-0.157616
2.81419,-0.12091,-0.15143,-0.15143
2.81818,-0.285006,-0.170789,-0.170789
2.82218,-0.145503,-0.183788,-0.183788
2.82617,-0.161399,-0.207006,-0.207006
2.83017,-0.225622,-0.22746,-0.22746
