t, ft, filtered ft Array, filtered ft Vector
2.91409,-0.0840227,-0.019826,-0.019826
2.91808,-0.00974181,-0.00487943,-0.00487943
2.92208,-0.0342329,0.0155208,0.0155208
2.92607,0.00318619,0.0273136,0.0273136
2.93007,0.0733712,0.0395837,0.0395837
2.93407,0.0863793,0.0502352,0.0502352
2.93806,0.058751,0.0618089,0.0618089
2.94206,0.126677,0.0848074,0.0848074
2.94605,0.123323,0.101738,0.101738
2.95005,0.134569,0.111696,0.111696
2.95405,0.157896,0.119087,0.119087
2.95804,0.142873,0.132294,0.132294
2.96204,0.181374,0.147296,0.147296
2.96603,0.169657,0.158486,0.158486
2.97003,0.193397,0.171986,0.171986
2.97403,0.136124,0.183368,0.183368
2.97802,0.227342,0.189257,0.189257
2.98202,0.297171,0.197087,0.197087
2.98601,0.200894,0.202495,0.202495
2.99001,0.13462,0.205939,0.205939
2.99401,0.181215,0.2093,0.2093
2.998,0.19332,0.208228,0.208228
3.002,0.305314,0.207495,0.207495
3.00599,0.200742,0.205577,0.205577
3.00999,0.286693,0.203599,0.203599
3.01399,0.312399,0.199934,0.199934
3.01798,0.210045,0.198427,0.198427
3.02198,0.223184,0.191421,0.191421
3.02597,0.240252,0.182399,0.182399
3.02997,0.19564,0.174725,0.174725
3.03397,0.205157,0.167731,0.167731
3.03796,0.135384,0.160647,0.160647
3.04196,0.127467,0.148956,0.148956
3.04595,0.141094,0.138299,0.138299
3.04995,0.128118,0.12754,0.12754
3.05395,0.116439,0.115028,0.115028
3.05794,0.104471,0.0934822,0.0934822
3.06194,0.0802294,0.0749992,0.0749992
3.06593,0.107692,0.0562822,0.0562822
3.06993,0.0397466,0.0441862,0.0441862
3.07393,-0.0122487,0.0263319,0.0263319
3.07792,0.0324405,0.00653653,0.00653653
3.08192,-0.0521891,-0.00797837,-0.00797837
3.08591,0.0815205,-0.0191052,-0.0191052
3.08991,-0.0251906,-0.0345654,-0.0345654
3.09391,0.0239445,-0.0497717,-0.0497717
3.0979,-0.14007,-0.0620536,-0.0620536
3.1019,-0.178097,-0.0748349,-0.0748349
3.10589,-0.169874,-0.0872197,-0.0872197
3.10989,-0.0137622,-0.101734,-0.101734
3.11389,-0.179301,-0.112699,-0.112699
3.11788,-0.210545,-0.122613,-0.122613
3.12188,-0.169429,-0.135571,-0.135571
3.12587,-0.106198,-0.142234,-0.142234
3.12987,-0.18357,-0.154654,-0.154654
3.13387,-0.191215,-0.165567,-0.165567
3.13786,-0.141483,-0.173674,-0.173674
3.14186,-0.163936,-0.176097,-0.176097
3.14585,-0.179851,-0.174989,-0.174989
3.14985,-0.197117,-0.174696,-0.174696
3.15385,-0.190503,-0.181975,-0.181975
3.15784,-0.220447,-0.181116,-0.181116
3.16184,-0.239674,-0.179496,-0.179496
3.16583,-0.192123,-0.176556,-0.176556
3.16983,-0.179302,-0.181986,-0.181986
3.17383,-0.254348,-0.180771,-0.180771
3.17782,-0.146319,-0.176037,-0.176037
3.18182,-0.190946,-0.177039,-0.177039
3.18581,-0.154823,-0.172942,-0.172942
3.18981,-0.163726,-0.166383,-0.166383
3.19381,-0.16663,-0.159821,-0.159821
3.1978,-0.161247,-0.153744,-0.153744
3.2018,-0.176539,-0.145059,-0.145059
3.20579,-0.107687,-0.133828,-0.133828
3.20979,-0.220229,-0.124721,-0.124721
3.21379,-0.158051,-0.11577,-0.11577
3.21778,-0.0917997,-0.102027,-0.102027
3.22178,-0.162522,-0.091898,-0.091898
3.22577,-0.0778973,-0.0783121,-0.0783121
3.22977,-0.0421089,-0.0656921,-0.0656921
3.23377,-0.0593126,-0.0560286,-0.0560286
3.23776,-0.0628895,-0.0455741,-0.0455741
3.24176,-0.0380671,-0.0306752,-0.0306752
3.24575,-0.00382904,-0.0181081,-0.0181081
3.24975,-0.000861604,-0.00256754,-0.00256754
3.25375,0.00866837,0.0130678,0.0130678
3.25774,0.0342419,0.0266168,0.0266168
3.26174,0.066398,0.0389281,0.0389281
3.26573,0.094359,0.0564477,0.0564477
3.26973,0.110196,0.0653296,0.0653296
3.27373,0.0392071,0.079262,0.079262
3.27772,0.0529145,0.0929571,0.0929571
3.28172,0.151631,0.103422,0.103422
3.28571,0.0873695,0.116215,0.116215
3.28971,0.218665,0.126771,0.126771
3.29371,0.108112,0.135489,0.135489
3.2977,0.126479,0.145151,0.145151
3.3017,0.166737,0.151682,0.151682
3.30569,0.20539,0.156862,0.156862
3.30969,0.108623,0.160863,0.160863
3.31369,0.250471,0.16357,0.16357
3.31768,0.228284,0.170498,0.170498
3.32168,0.15687,0.176955,0.176955
3.32567,0.230596,0.17607,0.17607
3.32967,0.21785,0.179689,0.179689
3.33367,0.182209,0.173908,0.173908
3.33766,0.21156,0.171945,0.171945
3.34166,0.171391,0.170774,0.170774
3.34565,0.175182,0.166716,0.166716
3.34965,0.178376,0.158804,0.158804
3.35365,0.167056,0.156113,0.156113
3.35764,0.184682,0.150475,0.150475
3.36164,0.188517,0.139665,0.139665
3.36563,0.133049,0.134187,0.134187
3.36963,0.163363,0.125672,0.125672
3.37363,0.0972633,0.11921,0.11921
3.37762,0.0668928,0.109865,0.109865
3.38162,0.101886,0.10206,0.10206
3.38561,0.0815315,0.0953012,0.0953012
3.38961,0.039239,0.083285,0.083285
3.39361,0.0521136,0.0708411,0.0708411
3.3976,0.132063,0.0607913,0.0607913
3.4016,0.00126856,0.049068,0.049068
3.40559,0.0418323,0.0361394,0.0361394
3.40959,0.0517794,0.0248981,0.0248981
3.41359,0.0821523,0.0117232,0.0117232
3.41758,-0.0140283,0.00066555,0.00066555
3.42158,0.0476461,-0.0073393,-0.0073393
3.42557,0.0294626,-0.0207354,-0.0207354
3.42957,-0.0771578,-0.0329778,-0.0329778
3.43357,-0.0829458,-0.0412766,-0.0412766
3.43756,-0.0439899,-0.0504552,-0.0504552
3.44156,-0.0615079,-0.064311,-0.064311
3.44555,-0.0829848,-0.0691039,-0.0691039
3.44955,-0.103017,-0.0784789,-0.0784789
3.45355,-0.113311,-0.0877356,-0.0877356
3.45754,-0.134947,-0.0971674,-0.0971674
3.46154,-0.101209,-0.107941,-0.107941
3.46553,-0.179433,-0.121713,-0.121713
3.46953,-0.175558,-0.133828,-0.133828
3.47353,-0.135036,-0.137842,-0.137842
3.47752,-0.140637,-0.142374,-0.142374
3.48152,-0.158911,-0.145834,-0.145834
3.48551,-0.0993816,-0.151747,-0.151747
3.48951,-0.155042,-0.155176,-0.155176
3.49351,-0.142613,-0.157404,-0.157404
3.4975,-0.115915,-0.157603,-0.157603
3.5015,-0.240265,-0.156339,-0.156339
