ts, time, num_ions, ion Current, num_electrons, elec Current
Avg KE Electrons,0.14896, Avg KE Ions,0.00432603,,
36700,3.67e-06,178824,0.344468,178098,0.552751
36800,3.68e-06,178789,0.280381,178033,0.520707
36900,3.69e-06,178740,0.392533,177996,0.296403
37000,3.7e-06,178687,0.424577,177960,0.288392
37100,3.71e-06,178635,0.416566,177910,0.400544
37200,3.72e-06,178597,0.304414,177874,0.288392
37300,3.73e-06,178543,0.432588,177830,0.352479
37400,3.74e-06,178500,0.344468,177794,0.288392
37500,3.75e-06,178454,0.368501,177741,0.424577
37600,3.76e-06,178404,0.400544,177710,0.248337
37700,3.77e-06,178360,0.352479,177661,0.392533
37800,3.78e-06,178321,0.312424,177616,0.36049
37900,3.79e-06,178286,0.280381,177565,0.408555
38000,3.8e-06,178253,0.264359,177520,0.36049
38100,3.81e-06,178203,0.400544,177461,0.472642
38200,3.82e-06,178155,0.384522,177427,0.27237
38300,3.83e-06,178117,0.304414,177384,0.344468
38400,3.84e-06,178086,0.248337,177328,0.448609
38500,3.85e-06,178044,0.336457,177297,0.248337
38600,3.86e-06,177997,0.376511,177264,0.264359
38700,3.87e-06,177953,0.352479,177224,0.320435
38800,3.88e-06,177918,0.280381,177170,0.432588
38900,3.89e-06,177880,0.304414,177139,0.248337
39000,3.9e-06,177838,0.336457,177109,0.240326
39100,3.91e-06,177781,0.45662,177086,0.18425
39200,3.92e-06,177742,0.312424,177067,0.152207
39300,3.93e-06,177701,0.328446,177037,0.240326
39400,3.94e-06,177655,0.368501,177002,0.280381
39500,3.95e-06,177605,0.400544,176978,0.192261
39600,3.96e-06,177552,0.424577,176950,0.224305
39700,3.97e-06,177509,0.344468,176922,0.224305
39800,3.98e-06,177473,0.288392,176887,0.280381
39900,3.99e-06,177442,0.248337,176859,0.224305
